,0,1,2,3,4,5
245,St George's Park,Port Elizabeth,South Africa,32 Tests,42 ODIs,3 T20s
246,St Helen's,Swansea,Wales,,2 ODIs,
247,St Lawrence Ground,Canterbury,England,,4 ODIs,
248,SuperSport Park,Centurion,South Africa,27 Tests,59 ODIs,12 T20s
249,Svanholm Park,Brondby,Denmark,,,8 T20s
250,Sydney Cricket Ground,Sydney,Australia,110 Tests,160 ODIs,18 T20s
251,Sylhet Stadium,Sylhet,Bangladesh,1 Test,4 ODIs,8 T20s
252,Tasmania Cricket Association Ground,Hobart,Australia,,1 ODI,
253,Terdthai Cricket Ground,Bangkok,Thailand,,,9 T20s
254,The Cooper Associates County Ground,Taunton,England,,6 ODIs,1 T20
255,The Rose Bowl,Southampton,England,7 Tests,31 ODIs,11 T20s
256,The Village,Dublin,Ireland,1 Test,22 ODIs,16 T20s
257,Tikkurila Cricket Ground,Vantaa,Finland,,,24 T20s
258,Titwood,Glasgow,Scotland,,6 ODIs,
259,Tolerance Oval,Abu Dhabi,United Arab Emirates,,,9 T20s
260,Trent Bridge,Nottingham,England,65 Tests,49 ODIs,13 T20s
261,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,,11 ODIs,18 T20s
262,Tyronne Fernando Stadium,Moratuwa,Sri Lanka,4 Tests,6 ODIs,
263,UKM-YSD Cricket Oval,Bangi,Malaysia,,,27 T20s
264,United Cricket Club,Windhoek,Namibia,,6 ODIs,7 T20s
265,University Ground,Lucknow,India,1 Test,,
266,University of Lagos Cricket Oval,Lagos,Nigeria,,,6 T20s
267,University Oval,Dunedin,New Zealand,8 Tests,11 ODIs,1 T20
268,University Stadium,Thiruvananthapuram,India,,2 ODIs,
269,Vidarbha Cricket Association Ground,Nagpur,India,9 Tests,14 ODIs,
270,Vidarbha Cricket Association Stadium,Nagpur,India,6 Tests,9 ODIs,13 T20s
271,VRA Ground,Amstelveen,Netherlands,,27 ODIs,6 T20s
272,WACA Ground,Perth,Australia,44 Tests,80 ODIs,2 T20s
273,Wanderers Cricket Ground,Windhoek,Namibia,,9 ODIs,5 T20s
274,Wanderers Stadium,Johannesburg,South Africa,43 Tests,51 ODIs,31 T20s
275,Wankhede Stadium,Mumbai,India,26 Tests,22 ODIs,7 T20s
276,Warner Park,"Basseterre, St Kitts",West Indies,3 Tests,18 ODIs,12 T20s
277,West End Park International Cricket Stadium,Doha,Qatar,,3 ODIs,19 T20s
278,"Whitehill Field, Sandys Parish",Hamilton,Bermuda,,,10 T20s
279,Willowmoore Park,Benoni,South Africa,,21 ODIs,15 T20s
280,Windsor Park,"Roseau, Dominica",West Indies,5 Tests,4 ODIs,4 T20s
281,Zafar Ali (Sahiwal) Stadium,Sahiwal,Pakistan,,2 ODIs,
282,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,23 Tests,24 ODIs,20 T20s
